1.1 - Situación geográfica de Cuba ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CONCEPTO,Lugar,Provincias,Latitud Norte,Greenwich,,,,,,
,,,,,,,,,,
Archipiélago Cubano,,,,,,,,,,
   Extremo septentrional,Cayo Cruz del Padre,Matanzas,23°16',80°55',,,,,,
   Extremo meridional,Punta del Inglés,Granma,19°49',77°40',,,,,,
   Extremo oriental,Punta de Maisí,Guantánamo,20°13',74°08',,,,,,
   Extremo occidental,Cabo de San Antonio,Pinar del Río,21°52',84°57',,,,,,
 Isla de Cuba (a),,,,,,,,,,
   Extremo septentrional,Punta Hicacos,Matanzas,23°11',81°09',,,,,,
 Isla de la Juventud,,,,,,,,,,
   Extremo septentrional,Punta de Tirry,-,21°57',82°58',,,,,,
   Extremo meridional,Caleta de Agustín Jol,-,21°26',82°54',,,,,,
   Extremo oriental,Punta del Este,-,21°34',82°33',,,,,,
   Extremo occidental,Punta Francés,-,21°38',83°11',,,,,,
,,,,,,,,,,
,,,,,,,,,,
(a) Los demás puntos extremos de la Isla de Cuba son los mismos señalados para la totalidad del archipiélago.,,,,,,,,,,
"Fuente: Síntesis Geográfica, Económica y Cultural de Cuba, versión digital, año 2017 y mapa plegable, Cuba. División ",,,,,,,,,,
"              Político - Administrativa, año 2011.",,,,,,,,,,
,,,,,,,,,,
1.2 - Límites geográficos y países más próximos a Cuba,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CONCEPTO,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Límites geográficos,,,,,,,,,,
    Norte,Estrecho de la Florida y los Canales de San Nicolás y Viejo de Bahamas,,,,,,,,,
    Sur,Mar Caribe y Estrecho de Colón,,,,,,,,,
    Este,Paso de los Vientos,,,,,,,,,
    Oeste,Estrecho de Yucatán,,,,,,,,,
Paises más próximos,,,,,,,,,,
    Norte,Estados Unidos de América (Cayo Hueso)  a 150 km ,,,,,,,,,
,Mancomunidad de las Bahamas (Cayo Guinchos) a 29 km,,,,,,,,,
    Sur,Jamaica a 148 km,,,,,,,,,
    Este,República de Haití a 78 km,,,,,,,,,
    Oeste,Estados Unidos Mexicanos a 210 km,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Fuente: Diccionario Geográfico, año 2000 y Síntesis Geográfica, Económica y Cultural de Cuba, versión digital, año 2017.",,,,,,,,,,
              ,,,,,,,,,,
1.3 - Superficie de Cuba ,,,,,,,,,,
,,,,Kilómetros cuadrados,,,,,,
,,,,,,,,,,
 ,                Archipiélago,Isla de,Isla de,Cayos,,,,,,
CONCEPTO,Cubano,Cuba,la Juventud,   adyacentes,,,,,,
,,,,,,,,,,
Área,109884.01000000001,104338.33,2419.27,3126.41,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Fuente: Síntesis Geográfica, Económica y Cultural de Cuba, versión digital, año 2017 y mapa plegable, Cuba. División Político - ",,,,,,,,,,
" Administrativa, año 2011.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,                                                                          
