"1.4 - Extensión superficial, población efectiva y densidad de población, año 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
Archipiélago cubano,109884.01000000001,3126.41,106757.6,10055968,91.5143886722008
,,,,,
    Pinar del Río,8883.74,68.47000000000001,8815.27,528996,59.54654233464735
     Sandino,1710.87,7.87,1703,32479,18.98390877156067
     Mantua,914.65,15.3,899.35,22136,24.20160717214235
     Minas de Matahambre,857.9,9.38,848.52,29288,34.139177060263435
     Viñales,693.0699999999999,10.26,682.81,26977,38.92391821893893
     La Palma,641.7,7.51,634.19,31196,48.614617422471554
     Los Palacios,764.51,-,764.51,33979,44.44546179906084
     Consolación del Sur,1111.9,0.19,1111.71,81621,73.40678118535838
     Pinar del Río,730.9399999999999,16.67,714.27,169701,232.1681670178127
     San Luis,325.93,1.29,324.64,29476,90.43659681526708
     San Juan y Martínez,408.22,-,408.22,39282,96.227524374112
     Guane,724.05,-,724.05,32861,45.38498722463918
   Artemisa,4003.24,1.52,4001.72,465294,116.22935422307931
     Bahía Honda,784.14,1.5,782.64,40019,51.0355293697554
     Mariel,270.86,-,270.86,40719,150.33227497600237
     Guanajay,110.26,-,110.26,24838,225.26754942862325
     Caimito,239.42,-,239.42,38673,161.52785899256537
     Bauta,154.63,-,154.63,45258,292.6857660221173
     San Antonio de los Baños,126.37,-,126.37,46388,367.0807944923637
     Güira de Melena,197.91,-,197.91,36665,185.26097721186397
     Alquízar,194.36,-,194.36,30820,158.57172257666184
     Artemisa,688.69,-,688.69,77888,113.0958776808143
     Candelaria,301.66,-,301.66,19756,65.49095007624477
     San Cristóbal,934.9399999999999,0.02,934.92,64270,68.74237919010847
  La Habana,728.2599999999999,0,728.2599999999999,1814207,2491.152884958669
     Playa,35.81,-,35.81,146563,4092.795308573024
     Plaza de la Revolución,12.26,-,12.26,108200,8825.448613376835
     Centro Habana,3.42,-,3.42,110335,32261.69590643275
     La Habana Vieja,4.37,-,4.37,67427,15429.519450800915
     Regla,10.22,-,10.22,37373,3656.849315068493
     La Habana del Este,141.49,-,141.49,146555,1035.7975828680471
     Guanabacoa,129.48,-,129.48,112521,869.0222428174236
     San Miguel del Padrón,25.55,-,25.55,140196,5487.123287671233
     Diez de Octubre,12.28,-,12.28,165622,13487.1335504886
     Cerro,10.19,-,10.19,105251,10328.851815505397
     Marianao,23.17,-,23.17,115623,4990.202848511005
     La Lisa,37.14,-,37.14,129998,3500.2154011847065
     Boyeros,134.8,-,134.8,176412,1308.694362017804
     Arroyo Naranjo,82.18,-,82.18,180706,2198.9048430275006
     Cotorro,65.9,-,65.9,71425,1083.8391502276174
,,,,,
,,,,,
,,,,,
"1.4 - Extensión superficial, población efectiva y densidad de población, año 2023 (continuación)",,,,,
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
